State,class,tokenize_with_padding,tokenize_no_padding
S0,1,"[29, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 37]"
r*s*,1,"[19, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[19, 50, 20, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
*r+S*r*A*R+,1,"[50, 19, 49, 29, 50, 19, 50, 10, 50, 28]","[50, 19, 49, 29, 50, 19, 50, 10, 50, 28, 49]"
",V,z+w,F,F,",1,"[48, 32, 48, 27, 49, 24, 48, 15, 48, 15]","[48, 32, 48, 27, 49, 24, 48, 15, 48, 15, 48]"
X*,1,"[34, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 50]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
"Y,y.Y*Y,Y.y",1,"[35, 48, 26, 47, 35, 50, 35, 48, 35, 47]","[35, 48, 26, 47, 35, 50, 35, 48, 35, 47, 26]"
"y,H,",1,"[26, 48, 17, 48, 0, 0, 0, 0, 0, 0]","[26, 48, 17, 48]"
S+S*,1,"[29, 49, 29, 50, 0, 0, 0, 0, 0, 0]","[29, 49, 29, 50]"
"R,",1,"[28, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 48]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
R*R.,1,"[28, 50, 28, 47, 0, 0, 0, 0, 0, 0]","[28, 50, 28, 47]"
S*s*s*R+,1,"[29, 50, 20, 50, 20, 50, 28, 49, 0, 0]","[29, 50, 20, 50, 20, 50, 28, 49]"
s*S*,1,"[20, 50, 29, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 29, 50]"
V*,1,"[32, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
i0,1,"[9, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 37]"
i0,1,"[9, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 37]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
R.,1,"[28, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 47]"
"R,",1,"[28, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 48]"
"r,r,r,S*S,R",1,"[19, 48, 19, 48, 19, 48, 29, 50, 29, 48]","[19, 48, 19, 48, 19, 48, 29, 50, 29, 48, 28]"
S*s*,1,"[29, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[29, 50, 20, 50]"
s*S*,1,"[20, 50, 29, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 29, 50]"
"s,r,S.r,",1,"[20, 48, 19, 48, 29, 47, 19, 48, 0, 0]","[20, 48, 19, 48, 29, 47, 19, 48]"
"Z.z.Z,",1,"[36, 47, 27, 47, 36, 48, 0, 0, 0, 0]","[36, 47, 27, 47, 36, 48]"
Y0z*,1,"[35, 37, 27, 50, 0, 0, 0, 0, 0, 0]","[35, 37, 27, 50]"
+Y.Z*R.Z.R+,1,"[49, 35, 47, 36, 50, 28, 47, 36, 47, 28]","[49, 35, 47, 36, 50, 28, 47, 36, 47, 28, 49]"
Z*y*Z+I+Y*,1,"[36, 50, 26, 50, 36, 49, 18, 49, 35, 50]","[36, 50, 26, 50, 36, 49, 18, 49, 35, 50]"
"Z,Z+y+Y.Z+z",1,"[36, 48, 36, 49, 26, 49, 35, 47, 36, 49]","[36, 48, 36, 49, 26, 49, 35, 47, 36, 49, 27]"
z*,1,"[27, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[27, 50]"
".z.Z.Y.Y,z,",1,"[47, 27, 47, 36, 47, 35, 47, 35, 48, 27]","[47, 27, 47, 36, 47, 35, 47, 35, 48, 27, 48]"
"x.z.x.z.Z,Z",1,"[25, 47, 27, 47, 25, 47, 27, 47, 36, 48]","[25, 47, 27, 47, 25, 47, 27, 47, 36, 48, 36]"
y*y*y*t+z*Y,1,"[26, 50, 26, 50, 26, 50, 21, 49, 27, 50]","[26, 50, 26, 50, 26, 50, 21, 49, 27, 50, 35]"
R*Z.Y.R*Z.y,1,"[28, 50, 36, 47, 35, 47, 28, 50, 36, 47]","[28, 50, 36, 47, 35, 47, 28, 50, 36, 47, 26]"
Z*Z*I+z*z*i,1,"[36, 50, 36, 50, 18, 49, 27, 50, 27, 50]","[36, 50, 36, 50, 18, 49, 27, 50, 27, 50, 9]"
".Z*Z,Z+W.Z.",1,"[47, 36, 50, 36, 48, 36, 49, 33, 47, 36]","[47, 36, 50, 36, 48, 36, 49, 33, 47, 36, 47]"
"+i+I+z,z+I+",1,"[49, 9, 49, 18, 49, 27, 48, 27, 49, 18]","[49, 9, 49, 18, 49, 27, 48, 27, 49, 18, 49]"
R.,1,"[28, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 47]"
"r,",1,"[19, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 48]"
s*R+,1,"[20, 50, 28, 49, 0, 0, 0, 0, 0, 0]","[20, 50, 28, 49]"
"R,R*R,",1,"[28, 48, 28, 50, 28, 48, 0, 0, 0, 0]","[28, 48, 28, 50, 28, 48]"
",R*b*B*s*s*",1,"[48, 28, 50, 2, 50, 11, 50, 20, 50, 20]","[48, 28, 50, 2, 50, 11, 50, 20, 50, 20, 50]"
"y,y,H,",1,"[26, 48, 26, 48, 17, 48, 0, 0, 0, 0]","[26, 48, 26, 48, 17, 48]"
R0,1,"[28, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 37]"
R0,1,"[28, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 37]"
S*R.R+,1,"[29, 50, 28, 47, 28, 49, 0, 0, 0, 0]","[29, 50, 28, 47, 28, 49]"
R+,1,"[28, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 49]"
s+B+R*s+,1,"[20, 49, 11, 49, 28, 50, 20, 49, 0, 0]","[20, 49, 11, 49, 28, 50, 20, 49]"
"R*R,",1,"[28, 50, 28, 48, 0, 0, 0, 0, 0, 0]","[28, 50, 28, 48]"
s*s*,1,"[20, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 50]"
"r,R*",1,"[19, 48, 28, 50, 0, 0, 0, 0, 0, 0]","[19, 48, 28, 50]"
.f.e.e.e.e.,1,"[47, 6, 47, 5, 47, 5, 47, 5, 47, 5]","[47, 6, 47, 5, 47, 5, 47, 5, 47, 5, 47]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
B*s*s*,1,"[11, 50, 20, 50, 20, 50, 0, 0, 0, 0]","[11, 50, 20, 50, 20, 50]"
A*,1,"[10, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 50]"
R*A*,1,"[28, 50, 10, 50, 0, 0, 0, 0, 0, 0]","[28, 50, 10, 50]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
"S.R,r.S*",1,"[29, 47, 28, 48, 19, 47, 29, 50, 0, 0]","[29, 47, 28, 48, 19, 47, 29, 50]"
"+R.S,r,r,r,",1,"[49, 28, 47, 29, 48, 19, 48, 19, 48, 19]","[49, 28, 47, 29, 48, 19, 48, 19, 48, 19, 48]"
"*r+r+s+R,S*",1,"[50, 19, 49, 19, 49, 20, 49, 28, 48, 29]","[50, 19, 49, 19, 49, 20, 49, 28, 48, 29, 50]"
+S.S+B+B+b+,1,"[49, 29, 47, 29, 49, 11, 49, 11, 49, 2]","[49, 29, 47, 29, 49, 11, 49, 11, 49, 2, 49]"
"*s+S,S+s+s+",1,"[50, 20, 49, 29, 48, 29, 49, 20, 49, 20]","[50, 20, 49, 29, 48, 29, 49, 20, 49, 20, 49]"
"S*S+s+s+S,S",1,"[29, 50, 29, 49, 20, 49, 20, 49, 29, 48]","[29, 50, 29, 49, 20, 49, 20, 49, 29, 48, 29]"
"+S*S*s*r*R,",1,"[49, 29, 50, 29, 50, 20, 50, 19, 50, 28]","[49, 29, 50, 29, 50, 20, 50, 19, 50, 28, 48]"
"S,r,S0S,S+",1,"[29, 48, 19, 48, 29, 37, 29, 48, 29, 49]","[29, 48, 19, 48, 29, 37, 29, 48, 29, 49]"
s+s+b+S*S+B,1,"[20, 49, 20, 49, 2, 49, 29, 50, 29, 49]","[20, 49, 20, 49, 2, 49, 29, 50, 29, 49, 11]"
S+,1,"[29, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 49]"
"R*s*S,S*s+s",1,"[28, 50, 20, 50, 29, 48, 29, 50, 20, 49]","[28, 50, 20, 50, 29, 48, 29, 50, 20, 49, 20]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
*s*s*s*s*s*,1,"[50, 20, 50, 20, 50, 20, 50, 20, 50, 20]","[50, 20, 50, 20, 50, 20, 50, 20, 50, 20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s+s*s*S.,1,"[20, 49, 20, 50, 20, 50, 29, 47, 0, 0]","[20, 49, 20, 50, 20, 50, 29, 47]"
s*s*,1,"[20, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 20, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*s*B*s*,1,"[20, 50, 20, 50, 11, 50, 20, 50, 0, 0]","[20, 50, 20, 50, 11, 50, 20, 50]"
*r+R*s*R*R+,1,"[50, 19, 49, 28, 50, 20, 50, 28, 50, 28]","[50, 19, 49, 28, 50, 20, 50, 28, 50, 28, 49]"
"R,R*R+r*",1,"[28, 48, 28, 50, 28, 49, 19, 50, 0, 0]","[28, 48, 28, 50, 28, 49, 19, 50]"
s*S+,1,"[20, 50, 29, 49, 0, 0, 0, 0, 0, 0]","[20, 50, 29, 49]"
R0,1,"[28, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 37]"
"A*R,R0R*",1,"[10, 50, 28, 48, 28, 37, 28, 50, 0, 0]","[10, 50, 28, 48, 28, 37, 28, 50]"
r*R.,1,"[19, 50, 28, 47, 0, 0, 0, 0, 0, 0]","[19, 50, 28, 47]"
"R+A+r,r,s,A",1,"[28, 49, 10, 49, 19, 48, 19, 48, 20, 48]","[28, 49, 10, 49, 19, 48, 19, 48, 20, 48, 10]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S*r*r*s*,1,"[29, 50, 19, 50, 19, 50, 20, 50, 0, 0]","[29, 50, 19, 50, 19, 50, 20, 50]"
*z*z+i*i+i*,1,"[50, 27, 50, 27, 49, 9, 50, 9, 49, 9]","[50, 27, 50, 27, 49, 9, 50, 9, 49, 9, 50]"
"Y,",1,"[35, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 48]"
"Y*Y,",1,"[35, 50, 35, 48, 0, 0, 0, 0, 0, 0]","[35, 50, 35, 48]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
"r*S,r+R*r*",1,"[19, 50, 29, 48, 19, 49, 28, 50, 19, 50]","[19, 50, 29, 48, 19, 49, 28, 50, 19, 50]"
"H,Z*Z,Y*Y,Y",1,"[17, 48, 36, 50, 36, 48, 35, 50, 35, 48]","[17, 48, 36, 50, 36, 48, 35, 50, 35, 48, 35]"
"r,R+r,R.R+R",1,"[19, 48, 28, 49, 19, 48, 28, 47, 28, 49]","[19, 48, 28, 49, 19, 48, 28, 47, 28, 49, 28]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
"+s*S,S*b*s*",1,"[49, 20, 50, 29, 48, 29, 50, 2, 50, 20]","[49, 20, 50, 29, 48, 29, 50, 2, 50, 20, 50]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
",Y.Z,Y.Z,Y.",1,"[48, 35, 47, 36, 48, 35, 47, 36, 48, 35]","[48, 35, 47, 36, 48, 35, 47, 36, 48, 35, 47]"
Z*Y.Z+Z.Y+Y,1,"[36, 50, 35, 47, 36, 49, 36, 47, 35, 49]","[36, 50, 35, 47, 36, 49, 36, 47, 35, 49, 35]"
G.G.X.Y.Y.y,1,"[16, 47, 16, 47, 34, 47, 35, 47, 35, 47]","[16, 47, 16, 47, 34, 47, 35, 47, 35, 47, 26]"
",B,S+S,s+s+",1,"[48, 11, 48, 29, 49, 29, 48, 20, 49, 20]","[48, 11, 48, 29, 49, 29, 48, 20, 49, 20, 49]"
S+S*,1,"[29, 49, 29, 50, 0, 0, 0, 0, 0, 0]","[29, 49, 29, 50]"
S0s*S+,1,"[29, 37, 20, 50, 29, 49, 0, 0, 0, 0]","[29, 37, 20, 50, 29, 49]"
S+,1,"[29, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 49]"
S+S*,1,"[29, 49, 29, 50, 0, 0, 0, 0, 0, 0]","[29, 49, 29, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S0,1,"[29, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 37]"
"i,I,F,f,W+I",1,"[9, 48, 18, 48, 15, 48, 6, 48, 33, 49]","[9, 48, 18, 48, 15, 48, 6, 48, 33, 49, 18]"
v+V0,1,"[23, 49, 32, 37, 0, 0, 0, 0, 0, 0]","[23, 49, 32, 37]"
"r,R*",1,"[19, 48, 28, 50, 0, 0, 0, 0, 0, 0]","[19, 48, 28, 50]"
S+,1,"[29, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 49]"
R*,1,"[28, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 50]"
*s*r+r+s*b*,1,"[50, 20, 50, 19, 49, 19, 49, 20, 50, 2]","[50, 20, 50, 19, 49, 19, 49, 20, 50, 2, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
"R+R,S*s*",1,"[28, 49, 28, 48, 29, 50, 20, 50, 0, 0]","[28, 49, 28, 48, 29, 50, 20, 50]"
".R*S+r,S*s*",1,"[47, 28, 50, 29, 49, 19, 48, 29, 50, 20]","[47, 28, 50, 29, 49, 19, 48, 29, 50, 20, 50]"
s*r*,1,"[20, 50, 19, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 19, 50]"
"R,",1,"[28, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 48]"
B*s*,1,"[11, 50, 20, 50, 0, 0, 0, 0, 0, 0]","[11, 50, 20, 50]"
"A*R,r+S.S+r",1,"[10, 50, 28, 48, 19, 49, 29, 47, 29, 49]","[10, 50, 28, 48, 19, 49, 29, 47, 29, 49, 19]"
S.,1,"[29, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 47]"
"S,S*S,S*B*s",1,"[29, 48, 29, 50, 29, 48, 29, 50, 11, 50]","[29, 48, 29, 50, 29, 48, 29, 50, 11, 50, 20]"
+s*s+S*b*s*,1,"[49, 20, 50, 20, 49, 29, 50, 2, 50, 20]","[49, 20, 50, 20, 49, 29, 50, 2, 50, 20, 50]"
b+b+B+b+B+b,1,"[2, 49, 2, 49, 11, 49, 2, 49, 11, 49]","[2, 49, 2, 49, 11, 49, 2, 49, 11, 49, 2]"
"S.S,R*r*r*r",1,"[29, 47, 29, 48, 28, 50, 19, 50, 19, 50]","[29, 47, 29, 48, 28, 50, 19, 50, 19, 50, 19]"
r*r*r*,1,"[19, 50, 19, 50, 19, 50, 0, 0, 0, 0]","[19, 50, 19, 50, 19, 50]"
"*s*r+S*R,R*",1,"[50, 20, 50, 19, 49, 29, 50, 28, 48, 28]","[50, 20, 50, 19, 49, 29, 50, 28, 48, 28, 50]"
"R,R*R,R+r*r",1,"[28, 48, 28, 50, 28, 48, 28, 49, 19, 50]","[28, 48, 28, 50, 28, 48, 28, 49, 19, 50, 19]"
"A,s+r+r,R*r",1,"[10, 48, 20, 49, 19, 49, 19, 48, 28, 50]","[10, 48, 20, 49, 19, 49, 19, 48, 28, 50, 19]"
S+B*,1,"[29, 49, 11, 50, 0, 0, 0, 0, 0, 0]","[29, 49, 11, 50]"
A*,1,"[10, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 50]"
"R.S,r,s,s.s",1,"[28, 47, 29, 48, 19, 48, 20, 48, 20, 47]","[28, 47, 29, 48, 19, 48, 20, 48, 20, 47, 20]"
"r,",1,"[19, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 48]"
"+Y.Y,y,H,Y*",1,"[49, 35, 47, 35, 48, 26, 48, 17, 48, 35]","[49, 35, 47, 35, 48, 26, 48, 17, 48, 35, 50]"
".y.Y*Y.Y,H,",1,"[47, 26, 47, 35, 50, 35, 47, 35, 48, 17]","[47, 26, 47, 35, 50, 35, 47, 35, 48, 17, 48]"
.y.y.Y.y.H.,1,"[47, 26, 47, 26, 47, 35, 47, 26, 47, 17]","[47, 26, 47, 26, 47, 35, 47, 26, 47, 17, 47]"
"y.y.Y,y,Y.y",1,"[26, 47, 26, 47, 35, 48, 26, 48, 35, 47]","[26, 47, 26, 47, 35, 48, 26, 48, 35, 47, 26]"
*Y.y.y.y.y.,1,"[50, 35, 47, 26, 47, 26, 47, 26, 47, 26]","[50, 35, 47, 26, 47, 26, 47, 26, 47, 26, 47]"
.y.y.Y0Y+y*,1,"[47, 26, 47, 26, 47, 35, 37, 35, 49, 26]","[47, 26, 47, 26, 47, 35, 37, 35, 49, 26, 50]"
"Y.Y+Y.Y,H,H",1,"[35, 47, 35, 49, 35, 47, 35, 48, 17, 48]","[35, 47, 35, 49, 35, 47, 35, 48, 17, 48, 17]"
A.,1,"[10, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 47]"
s*R*s*,1,"[20, 50, 28, 50, 20, 50, 0, 0, 0, 0]","[20, 50, 28, 50, 20, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
R*R*,1,"[28, 50, 28, 50, 0, 0, 0, 0, 0, 0]","[28, 50, 28, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S*,1,"[29, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 50]"
r*,1,"[19, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 50]"
+s*r+s+r*S0,1,"[49, 20, 50, 19, 49, 20, 49, 19, 50, 29]","[49, 20, 50, 19, 49, 20, 49, 19, 50, 29, 37]"
V*v*,1,"[32, 50, 23, 50, 0, 0, 0, 0, 0, 0]","[32, 50, 23, 50]"
R+s*r+s*A*R,1,"[28, 49, 20, 50, 19, 49, 20, 50, 10, 50]","[28, 49, 20, 50, 19, 49, 20, 50, 10, 50, 28]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
"*S,H,y.Y+S.",1,"[50, 29, 48, 17, 48, 26, 47, 35, 49, 29]","[50, 29, 48, 17, 48, 26, 47, 35, 49, 29, 47]"
*Z+z+z+I+i*,1,"[50, 36, 49, 27, 49, 27, 49, 18, 49, 9]","[50, 36, 49, 27, 49, 27, 49, 18, 49, 9, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
S*B*,1,"[29, 50, 11, 50, 0, 0, 0, 0, 0, 0]","[29, 50, 11, 50]"
s*b*,1,"[20, 50, 2, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 2, 50]"
".y.Y,y,Y+Y,",1,"[47, 26, 47, 35, 48, 26, 48, 35, 49, 35]","[47, 26, 47, 35, 48, 26, 48, 35, 49, 35, 48]"
S+,1,"[29, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 49]"
s*B*,1,"[20, 50, 11, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 11, 50]"
s*S*,1,"[20, 50, 29, 50, 0, 0, 0, 0, 0, 0]","[20, 50, 29, 50]"
"S*S,",1,"[29, 50, 29, 48, 0, 0, 0, 0, 0, 0]","[29, 50, 29, 48]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
b0,1,"[2, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 37]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
S0s*,1,"[29, 37, 20, 50, 0, 0, 0, 0, 0, 0]","[29, 37, 20, 50]"
S0s*,1,"[29, 37, 20, 50, 0, 0, 0, 0, 0, 0]","[29, 37, 20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
R*r*,1,"[28, 50, 19, 50, 0, 0, 0, 0, 0, 0]","[28, 50, 19, 50]"
R.,1,"[28, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 47]"
r+r*R*S+S*,1,"[19, 49, 19, 50, 28, 50, 29, 49, 29, 50]","[19, 49, 19, 50, 28, 50, 29, 49, 29, 50]"
"R,R*B*S+s*s",1,"[28, 48, 28, 50, 11, 50, 29, 49, 20, 50]","[28, 48, 28, 50, 11, 50, 29, 49, 20, 50, 20]"
".S*S,s+B+s+",1,"[47, 29, 50, 29, 48, 20, 49, 11, 49, 20]","[47, 29, 50, 29, 48, 20, 49, 11, 49, 20, 49]"
"+A+S,r,S0S+",1,"[49, 10, 49, 29, 48, 19, 48, 29, 37, 29]","[49, 10, 49, 29, 48, 19, 48, 29, 37, 29, 49]"
"S+B+S,s,s+s",1,"[29, 49, 11, 49, 29, 48, 20, 48, 20, 49]","[29, 49, 11, 49, 29, 48, 20, 48, 20, 49, 20]"
"S,S*S+s,s,s",1,"[29, 48, 29, 50, 29, 49, 20, 48, 20, 48]","[29, 48, 29, 50, 29, 49, 20, 48, 20, 48, 20]"
"s*s+s,s+s+R",1,"[20, 50, 20, 49, 20, 48, 20, 49, 20, 49]","[20, 50, 20, 49, 20, 48, 20, 49, 20, 49, 28]"
"S+s*s*s*S,",1,"[29, 49, 20, 50, 20, 50, 20, 50, 29, 48]","[29, 49, 20, 50, 20, 50, 20, 50, 29, 48]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
*B*s*s*s*s*,1,"[50, 11, 50, 20, 50, 20, 50, 20, 50, 20]","[50, 11, 50, 20, 50, 20, 50, 20, 50, 20, 50]"
S.,1,"[29, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 47]"
"+s+a+r*r+S,",1,"[49, 20, 49, 1, 49, 19, 50, 19, 49, 29]","[49, 20, 49, 1, 49, 19, 50, 19, 49, 29, 48]"
"+r+r+r+R,s+",1,"[49, 19, 49, 19, 49, 19, 49, 28, 48, 20]","[49, 19, 49, 19, 49, 19, 49, 28, 48, 20, 49]"
"r*r*R+r+R,R",1,"[19, 50, 19, 50, 28, 49, 19, 49, 28, 48]","[19, 50, 19, 50, 28, 49, 19, 49, 28, 48, 28]"
"R+r*R,S+r,B",1,"[28, 49, 19, 50, 28, 48, 29, 49, 19, 48]","[28, 49, 19, 50, 28, 48, 29, 49, 19, 48, 11]"
"R,",1,"[28, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[28, 48]"
"s*s*R,r,s+R",1,"[20, 50, 20, 50, 28, 48, 19, 48, 20, 49]","[20, 50, 20, 50, 28, 48, 19, 48, 20, 49, 28]"
r+R0,1,"[19, 49, 28, 37, 0, 0, 0, 0, 0, 0]","[19, 49, 28, 37]"
r+S0,1,"[19, 49, 29, 37, 0, 0, 0, 0, 0, 0]","[19, 49, 29, 37]"
s*,1,"[20, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 50]"
Z+,1,"[36, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 49]"
"H,H,",1,"[17, 48, 17, 48, 0, 0, 0, 0, 0, 0]","[17, 48, 17, 48]"
"H,Y*Y,",1,"[17, 48, 35, 50, 35, 48, 0, 0, 0, 0]","[17, 48, 35, 50, 35, 48]"
"H,Y*Y,",1,"[17, 48, 35, 50, 35, 48, 0, 0, 0, 0]","[17, 48, 35, 50, 35, 48]"
"r*s*S,",1,"[19, 50, 20, 50, 29, 48, 0, 0, 0, 0]","[19, 50, 20, 50, 29, 48]"
r*S*,1,"[19, 50, 29, 50, 0, 0, 0, 0, 0, 0]","[19, 50, 29, 50]"
s0,1,"[20, 37, 0, 0, 0, 0, 0, 0, 0, 0]","[20, 37]"
"y*Y+y+Y*Y,",1,"[26, 50, 35, 49, 26, 49, 35, 50, 35, 48]","[26, 50, 35, 49, 26, 49, 35, 50, 35, 48]"
H*,1,"[17, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 50]"
Y+Y*Y+Y*,1,"[35, 49, 35, 50, 35, 49, 35, 50, 0, 0]","[35, 49, 35, 50, 35, 49, 35, 50]"
"Y,",1,"[35, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 48]"
y*y*H*,1,"[26, 50, 26, 50, 17, 50, 0, 0, 0, 0]","[26, 50, 26, 50, 17, 50]"
v*y*y*y+,1,"[23, 50, 26, 50, 26, 50, 26, 49, 0, 0]","[23, 50, 26, 50, 26, 50, 26, 49]"
Y+Y*y*y*,1,"[35, 49, 35, 50, 26, 50, 26, 50, 0, 0]","[35, 49, 35, 50, 26, 50, 26, 50]"
H+y+,1,"[17, 49, 26, 49, 0, 0, 0, 0, 0, 0]","[17, 49, 26, 49]"
Y+Y0,1,"[35, 49, 35, 37, 0, 0, 0, 0, 0, 0]","[35, 49, 35, 37]"
y*Y*,1,"[26, 50, 35, 50, 0, 0, 0, 0, 0, 0]","[26, 50, 35, 50]"
Y*,1,"[35, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 50]"
Y+h+Y0Y+,1,"[35, 49, 8, 49, 35, 37, 35, 49, 0, 0]","[35, 49, 8, 49, 35, 37, 35, 49]"
Y*,1,"[35, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[35, 50]"
"+B+s+s+s+B,",1,"[49, 11, 49, 20, 49, 20, 49, 20, 49, 11]","[49, 11, 49, 20, 49, 20, 49, 20, 49, 11, 48]"
",r+s+S,s+s,",1,"[48, 19, 49, 20, 49, 29, 48, 20, 49, 20]","[48, 19, 49, 20, 49, 29, 48, 20, 49, 20, 48]"
"s*b*S+s,s+s",1,"[20, 50, 2, 50, 29, 49, 20, 48, 20, 49]","[20, 50, 2, 50, 29, 49, 20, 48, 20, 49, 20]"
"y*Y,Y+y*V,y",1,"[26, 50, 35, 48, 35, 49, 26, 50, 32, 48]","[26, 50, 35, 48, 35, 49, 26, 50, 32, 48, 26]"
"+y,Y+V*y*E*",1,"[49, 26, 48, 35, 49, 32, 50, 26, 50, 14]","[49, 26, 48, 35, 49, 32, 50, 26, 50, 14, 50]"
Z+,1,"[36, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 49]"
",y,h,y,y+Y,",1,"[48, 26, 48, 8, 48, 26, 48, 26, 49, 35]","[48, 26, 48, 8, 48, 26, 48, 26, 49, 35, 48]"
